[omfg][info][1774660321629] vkQueuePresentKHR frame=2340; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660321672] blended frame present=2340; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660323631] vkQueuePresentKHR frame=2400; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660323671] blended frame present=2400; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660325638] vkQueuePresentKHR frame=2460; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660325684] blended frame present=2460; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660327632] vkQueuePresentKHR frame=2520; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660327680] blended frame present=2520; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660329633] vkQueuePresentKHR frame=2580; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660329681] blended frame present=2580; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660331632] vkQueuePresentKHR frame=2640; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660331678] blended frame present=2640; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660333632] vkQueuePresentKHR frame=2700; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660333679] blended frame present=2700; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660335659] vkQueuePresentKHR frame=2760; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660335722] blended frame present=2760; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660337644] vkQueuePresentKHR frame=2820; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660337709] blended frame present=2820; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660339655] vkQueuePresentKHR frame=2880; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660339714] blended frame present=2880; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660341641] vkQueuePresentKHR frame=2940; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660341698] blended frame present=2940; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660343637] vkQueuePresentKHR frame=3000; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660343697] blended frame present=3000; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
[omfg][info][1774660345639] vkQueuePresentKHR frame=3060; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660345698] blended frame present=3060; generatedImageIndex=1; currentImageIndex=4; originalFirst=0
