[omfg][info][1774647299273] search adaptive blended frame present=1080; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647301212] vkQueuePresentKHR frame=1140; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647301252] search adaptive blended frame present=1140; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647303217] vkQueuePresentKHR frame=1200; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647303265] search adaptive blended frame present=1200; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647305216] vkQueuePresentKHR frame=1260; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647305266] search adaptive blended frame present=1260; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647307217] vkQueuePresentKHR frame=1320; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647307266] search adaptive blended frame present=1320; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647309215] vkQueuePresentKHR frame=1380; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647309267] search adaptive blended frame present=1380; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647311216] vkQueuePresentKHR frame=1440; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647311265] search adaptive blended frame present=1440; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647313216] vkQueuePresentKHR frame=1500; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647313266] search adaptive blended frame present=1500; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647315215] vkQueuePresentKHR frame=1560; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647315266] search adaptive blended frame present=1560; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647317215] vkQueuePresentKHR frame=1620; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647317267] search adaptive blended frame present=1620; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647319215] vkQueuePresentKHR frame=1680; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647319266] search adaptive blended frame present=1680; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647321215] vkQueuePresentKHR frame=1740; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647321266] search adaptive blended frame present=1740; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647323215] vkQueuePresentKHR frame=1800; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647323267] search adaptive blended frame present=1800; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647325215] vkQueuePresentKHR frame=1860; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647325266] search adaptive blended frame present=1860; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647327215] vkQueuePresentKHR frame=1920; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647327266] search adaptive blended frame present=1920; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647329216] vkQueuePresentKHR frame=1980; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647329266] search adaptive blended frame present=1980; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647331215] vkQueuePresentKHR frame=2040; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647331267] search adaptive blended frame present=2040; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647333215] vkQueuePresentKHR frame=2100; queueFamily=0; imageIndex=3; waitSemaphores=1
