[omfg][info][1774648224024] reproject multi blended frame present=1860; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648224994] vkQueuePresentKHR frame=960; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648225067] reproject multi blended frame present=1920; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648226169] reproject multi blended frame present=1980; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648227204] vkQueuePresentKHR frame=1020; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648227276] reproject multi blended frame present=2040; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648228383] reproject multi blended frame present=2100; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648229419] vkQueuePresentKHR frame=1080; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648229491] reproject multi blended frame present=2160; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648230618] reproject multi blended frame present=2220; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648231674] vkQueuePresentKHR frame=1140; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648231747] reproject multi blended frame present=2280; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648232870] reproject multi blended frame present=2340; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648233920] vkQueuePresentKHR frame=1200; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648233991] reproject multi blended frame present=2400; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648235089] reproject multi blended frame present=2460; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648236109] vkQueuePresentKHR frame=1260; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648236180] reproject multi blended frame present=2520; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648237265] reproject multi blended frame present=2580; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648238283] vkQueuePresentKHR frame=1320; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648238355] reproject multi blended frame present=2640; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648239445] reproject multi blended frame present=2700; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648240462] vkQueuePresentKHR frame=1380; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648240535] reproject multi blended frame present=2760; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648241634] reproject multi blended frame present=2820; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648242660] vkQueuePresentKHR frame=1440; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648242732] reproject multi blended frame present=2880; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648243827] reproject multi blended frame present=2940; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648244843] vkQueuePresentKHR frame=1500; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648244914] reproject multi blended frame present=3000; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648246007] reproject multi blended frame present=3060; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648247028] vkQueuePresentKHR frame=1560; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648247099] reproject multi blended frame present=3120; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648248184] reproject multi blended frame present=3180; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648249206] vkQueuePresentKHR frame=1620; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648249276] reproject multi blended frame present=3240; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648250363] reproject multi blended frame present=3300; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648251383] vkQueuePresentKHR frame=1680; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648251455] reproject multi blended frame present=3360; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648252551] reproject multi blended frame present=3420; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648253569] vkQueuePresentKHR frame=1740; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648253642] reproject multi blended frame present=3480; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648254735] reproject multi blended frame present=3540; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648255749] vkQueuePresentKHR frame=1800; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648255820] reproject multi blended frame present=3600; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648256907] reproject multi blended frame present=3660; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648257927] vkQueuePresentKHR frame=1860; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648257999] reproject multi blended frame present=3720; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648259082] reproject multi blended frame present=3780; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648260102] vkQueuePresentKHR frame=1920; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648260173] reproject multi blended frame present=3840; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648261274] reproject multi blended frame present=3900; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648262293] vkQueuePresentKHR frame=1980; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648262364] reproject multi blended frame present=3960; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648263460] reproject multi blended frame present=4020; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
